Text,True Label,Predicted Label
donald trump jr  says he was being straightforward and not dabbling in  microaggression  when he compared syrian refugees to a bowl of poisoned skittles candy in a tweet earlier this week ,0,0
former first lady imelda marcos  who helped build the refugee camp  was the guest of honor ,0,0
un urges greater attention to plight of haiti s vulnerable women,0,0
rejhumal speaking at the occassion said he was at his home along with his family when  at midnight  four armed men and two women barged into his house located newar gulab chowk   they tortured male and female family members and robbed money  gold  laptop and camera   alleged rejhumal adding his family was illegally rendered homeless by the culprits ,0,0
mr hill suggested using innovative marketing methods  such as recipe ideas which incorporated second grade cuts  or even prepackaged meals for timepoor families ,0,0
under the parent visa category  migrants have to agree to financially support parents for five years ,0,0
for many years i have been writing and speaking about the danger of the rise of an honest and charismatic ideologue in the united states  someone who could exploit the fear and anger that has long been boiling in much of the society  and who could direct it away from the actual agents of malaise to vulnerable targets  that could indeed lead to what sociologist bertram gross called  friendly fascism  in a perceptive study 35 years ago  but that requires an honest ideologue  a hitler type  not someone whose only detectable ideology is me  the dangers however have been real for many years  perhaps even more so in the light of the forces that trump has unleashed ,0,0
second  children can be taken into care because of substandard housing  a stricture that focuses specifically on manitoba s poor families  instead of using increased taxpayer funds to put children in care  why not direct funds to help bring the home up to standard  i am sure most manitobans would favour the latter  not only would it be more effective for healthier family outcomes  it s costefficient ,0,0
reese witherspoon  twitter is empowering h reese witherspoon feels  less vulnerable  since joining social media ,0,0
 when a country  which can make mangalyaan within nine months  is not able to make a 70kmodd railway line in 42 years  a question rises in the mind of the poor that what will happen of the country  when a project gets stuck  the maximum loss is to the poor families   the pm was referring to a broadgauge railway line to be laid to connect howrah  amta and champadanga  senior rail officials told et  construction of the track  they said  was first approved in 1975  champadanga  senior rail officials told et  construction of the track  they said  was first approved in 1975 ,0,0
indian border forces have apprehended only 12 rohingya refugees in the past month who infiltrated into india via bangladesh  at a time when almost 4 lakh refugees fled to bangladesh from myanmar  speaking to a select group of journalists this week kk sharma  directorgeneral bsf  said ,0,0
ms justice heneghan said she was satisfied that mr cuddihy was suffering from a mental disorder under the definition of the 2006 criminal law  insanity  act and was in need of inpatient care in  the only designated centre   the central mental hospital  dundrum ,0,0
climate change and conflict events have different effects on different societies  it is  therefore  crucial to understand these contextspecific differences in order to enable tailored responses  these should include local and marginalized communities  to provide contextually adequate responses that empower vulnerable groups  it is important to assess the needs  vulnerabilities and resilience of affected communities ,0,0
jerry blackburn  a 67yearold retired county building official from rural tazewell  virginia  voted for trump and supports his calls for cracking down on sanctuary cities and refugees coming to the us  blackburn  a republican  said illegal immigration  has diluted our workforce and is a heavy burden to our people  ,0,0
second  all involved have to understand the present outcomes for women are not matters of chance  but the product of social structure ,0,0
 the industry employs four million workers  90 percent of whom are women from the poor families  their employment has been an instrument for women empowerment as well as keeping our society liberal and progressive   she added ,0,0
trump praised his homeland security secretary  kirstjen nielsen  whom the president has criticized privately for not doing enough in his view to stop illegal immigrants ,0,0
ipak s president mb khuman told the hindu   the fate of the indigenous peoples of manipur is uncertain  manipur has always been a destination for migrants as livelihood is easy to find  for example  one rumour goes that men in bihar can easily find a bride if they go to work in manipur  ,0,0
he conspired with colleen larose  a pennsylvania woman who converted to islam and took the name jihad jane  along with others to  wage violent jihad  through a cell of men and women from europe and the united states ,0,0
the three were given first aid at m  decins sans fronti  res hospital at the kutupalong refugee camp ,0,0
 october 3  2017  chennai  sri lanka guardian  the recent doklam episode  where china tried to show it s muscle power in it s border with bhutan and india resisted it and finally china gave up it s war cry  clearly indicate that china is now vulnerable ,0,0
to show what a difference openforms can make to people s lives  one of our clients has used it for their kindergarten registrations  hundreds of timepoor families have registered their children  including making secure digital payments onthego  with the touch of a button on their smartphone ,0,0
with the busy schedule that india have to maintain the icc rankings and fulfill the agreements by bcci with broadcasters  sponsors and ipl franchises  just 15 players make millions for bcci which is normally made by 100s of workers in factories  zaheer s famous breakdown in england is no distant past  factories have shifts but these indian players have to be out there in the middle almost throughout the year because other shift might not be having big names like dhonikohli  on top of that they have to play the top teams to enhance their icc ranking and hence the market value which puts the players under great stress resulting in breakdown and hopeless performance with bat and ball ,0,0
in march this year  mr dhayabararaj alleged that his wife udayakala and children were illegally detained for several months in a special quarantine camp at rameswaram in ramanathapuram district  after the hindu published a report  the state government ordered their release and even allotted a house in the open camp for refugees in mandapam  however  mr dhayabararaj was not released ,0,0
in an obvious public discontent over the state of affairs  it is equally apparent that the society is in need of change  whose occurrence is rendered impossible without increased responsibility and accountability by its stakeholders ,0,0
none of it is traditional or timeless or built into the religion  indian culture or economics or poverty are nt causing it  but it is having a dire effect on them  it has arisen and become a faith unto itself  it is unrelated  in any important way  to the wider culture  but it has choked back social and economic progress  preventing poor families from becoming more prosperous ,0,0
his main complaint about the majority s ruling was  he said  that it created  a new right for unlawful immigrant minors in us government detention to obtain immediate abortion on demand   he said that  represents a radical extension of the supreme court s abortion jurisprudence  ,0,0
the use of the criminal law to enforce a complex regulatory regime creates numerous opportunities for that scenario  the reason is that  by definition  a regulatory program allows the conduct in question to occur  agency rules merely define when  where  and how  even the lawyers who practice in a regulated industry will not know all of the statutes  rules  and regulations  which makes hopeless the plight of the average person who lacks legal training or ready and inexpensive access to an attorney ,0,0
cbs will keep chief executive les moonves in place during an investigation of sexual misconduct charges against him  the company said  it will hire an outside counsel to conduct the inquiry  on friday a new yorker article quoted six women who accused moonves of sexual misconduct over a span of three decades  the alleged behavior included forced kissing  unwanted sexual advances and career retalia ,0,0
clayton kershaw is still without a timetable for a return to the mound  but the los angeles dodgers moved him to the 60day disabled list on wednesday ,0,0
 we are dealing with a crisis  the women living in these shelter homes are vulnerable women  the department has to make sure that they hire the right person and that the person is suitably paid  we proposed a change in the rules of the shelter homes after incidents of women running away were reported   said prita jha  president of peace and equality cell  an ngo which filed the pil  the next hearing in the pil is scheduled for wednesday ,0,0
 foreigners who came to our country illegally can not be given pakistani nationality as once an unlawful decision is made to this effect  it would open floodgates of illegal immigrants in the country   said the sindh cm   i am very much clear about this issue  if such an announcement is unlawful  it could not be implemented as only lawful decisions regarding grant of pakistani citizenship could be implemented   said the cm on the occasion ,0,0
like the author of this article  i d be more likely to sign a petition on a big issue that supports women  not an easy populist one ,0,0
even with an english degree  luke cresswell  25  shares that hopelessness  he s been out of university for nearly two years and would ideally be providing training for youngsters  but cuts means there are no jobs  so he s doing further training  he shares a bedroom with his elder brother  the house is owned by his father who  just this week  saw six workmates laid off  while the rest were told to work harder ,0,0
the house decided to sit in a special session devoted to the report on the exercise that was conducted in the past two months  following a visit by president jakaya kikwete to border districts near rwanda and burundi  and witnessed the chaos in the area  he then ordered two operations  kimbunga against illegal immigrants and tokomeza against poachers  and invaders of national parks with their large herds of cattle  and it is in the latter environment where atrocities were reported ,0,0
on a damp june afternoon  jayaprakash is called to a shelter for the homeless to identify a woman everybody thinks is his missing wife   penguin indiatwitter ,0,0
sl is forever stuck in hopelessness  till this generation of politicians are gone ,0,0
 how many more kidnappings or illegal immigrant related crimes need to occur before this is resolved ,0,0
film star reema also believes that this is nt the time for iftar parties so she was nt throwing any   i think we should save every penny at this time and send it to help for flood victims  hundreds of thousands of people are waiting for our help and the money which is otherwise spent on iftar parties should be sent to these people in need   she maintained ,1,1
the singer took home the award for  female artiste of the year 2017 and was honoured for her continued work within entertainment and her contribution towards empowering women across the world ,0,0
mr tuju  the cabinet secretary without portfolio  says the government is on top of the humanitarian crisis situation across the country and will ensure those in need receive the help they need ,0,0
a 506 percent decline  from 12261 in 2010 to 6063 in 2014  in the number of unsheltered homeless in the state ,0,0
the saudi press agency  reported that the second guardian of the holy city  namely  raja salman  had ordered a payment of sr 1 million  rm114 million  to the families of those killed  sr 1 million to those permanently disabled and sr 500000 to an injured victim ,0,0
mr l had been a successful fisherman before the tsunami  with the disaster  he lost his house  livelihood  and personal identity as a productive member of society  mr l and his family members had to live in a refugee camp with minimum facilities  a few months after this unbearable catastrophe  mr l became depressed  his symptoms included persistent depressed or irritable mood  loss of appetite  sleep disturbance with often earlymorning awakening  greatly diminished interest in life activities  fatigue and loss of energy  feelings of worthlessness  feelings of hopelessness  and sometimes thoughts about suicide ,0,0
yes they can be another detroit  but hopefully without the blight  corruption  gangs  drugs  abandoned buildings  bankruptcy  and hopelessness that has befallen detroit and many usa cities  h about china real time report,0,0
feeling a pressing need to safeguard the vulnerable  the filmmaker came up with an idea to race against the extinction of endangered species in his latest production ,0,0
vanessa mae bondalian rodel  a filipino refugee living in a tiny subsidized apartment with her daughter in hong kong  had no idea that the young bespectacled american who showed up on her doorstep one night in may 2013 asking for shelter was the most wanted man in the world  it was not until the following  h the lankans who protected edward snowden,0,0
is this really a high you want to die on broseph  sesame street has always been the place that shattered shitty stereotypes  it was the street that was safe  even from when we were kids  remember linda the librarian  that s how you learned how to sign  good morning   rosita la monstrua de las cuevas taught you how to say  hello  in spanish  tarah was the first child in a wheelchair many children ever saw  many disabled characters were on tv at a time when mainstreaming for school was nt even happening for high health needs and additional needs children ,0,0
she said about 50 per cent of the refugees entering are children  many of them separated from their families or unaccompanied   this presents a massive protection risk   said ms ahmed ,0,0
meizhou s opening created a buzz in the chinese community  chinese students and immigrants were excited to see a chinese brand they could relate to coming to california  it also got the attention of american foodies ,0,0
